user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Segment
U1209,239,7,1007.88,3,4,4,344,11,Sleeping Customers
U1210,265,6,1100.36,2,3,4,234,9,High check Customers
U1211,290,8,1601.5,2,4,5,245,11,Lost Customers
U1212,234,8,1362.96,3,4,4,344,11,Sleeping Customers
U1213,244,7,1407.75,3,4,4,344,11,Sleeping Customers
U1214,228,9,957.03,3,4,4,344,11,Sleeping Customers
U1215,217,8,825.44,3,4,3,343,10,Sleeping Customers
U1216,237,10,2232.95,3,5,5,355,13,Sleeping Customers
U1217,236,6,675.71,3,3,3,333,9,Sleeping Customers
U1218,410,10,1286.25,2,5,4,254,11,Lost Customers
U1219,287,9,955.13,2,4,4,244,10,Lost Customers
U1220,344,8,1258.02,2,4,4,244,10,Lost Customers
U1221,222,9,1149.5,3,4,4,344,11,Sleeping Customers
U1222,232,9,1266.2,3,4,4,344,11,Sleeping Customers
U1223,218,9,1204.94,3,4,4,344,11,Sleeping Customers
U1224,295,6,670.16,2,3,3,233,8,High check Customers
U1225,392,6,602.9,2,3,3,233,8,High check Customers
U1226,272,10,963.6600000000001,2,5,4,254,11,Lost Customers
U1227,313,10,1033.8799999999999,2,5,4,254,11,Lost Customers
U1228,328,6,1861.8700000000001,2,3,5,235,10,High check Customers
U1229,306,9,1451.21,2,4,5,245,11,Lost Customers
U1230,242,10,1887.07,3,5,5,355,13,Sleeping Customers
U1231,502,5,848.43,1,3,4,134,8,High check Customers
U1232,277,9,1261.2,2,4,4,244,10,Lost Customers
U1233,415,6,1751.23,2,4,5,245,11,Lost Customers
U1234,218,9,1134.81,3,4,4,344,11,Sleeping Customers
U1235,271,6,855.24,2,4,4,244,10,Lost Customers
U1236,234,6,1524.22,3,4,5,345,12,Sleeping Customers
U1237,293,5,426.11,2,3,3,233,8,High check Customers
U1238,220,7,1238.98,3,4,4,344,11,Sleeping Customers
U1239,262,4,636.87,3,3,3,333,9,Sleeping Customers
U1240,266,5,527.3299999999999,2,3,3,233,8,High check Customers
U1241,291,6,519.5699999999999,2,4,3,243,9,High check Customers
U1242,267,8,1653.5500000000002,2,4,5,245,11,Lost Customers
U1243,236,6,1096.86,3,4,4,344,11,Sleeping Customers
U1244,232,5,833.73,3,3,3,333,9,Sleeping Customers
U1245,292,5,952.49,2,3,4,234,9,High check Customers
U1246,226,8,1745.46,3,4,5,345,12,Sleeping Customers
U1247,401,8,1330.55,2,4,4,244,10,Lost Customers
U1248,237,6,1121.7,3,4,4,344,11,Sleeping Customers
U1249,298,10,1479.96,2,5,5,255,12,Lost Customers
U1250,216,6,686.37,3,4,3,343,10,Sleeping Customers
U1251,216,4,859.54,3,3,4,334,10,Sleeping Customers
U1252,311,4,628.23,2,3,3,233,8,High check Customers
U1253,304,8,1342.8500000000001,2,4,4,244,10,Lost Customers
U1254,217,6,572.51,3,4,3,343,10,Sleeping Customers
U1255,216,8,1497.78,3,4,5,345,12,Sleeping Customers
U1256,467,2,133.22,2,2,1,221,5,Regular Customers
U1257,629,4,239.01999999999998,1,3,2,132,6,High check Customers
U1258,608,2,114.04,1,2,1,121,4,Regular Customers
U1259,531,3,201.53,1,2,2,122,5,Regular Customers
U1260,550,1,58.01,1,1,1,111,3,Regular Customers
U1261,474,3,206.04,2,2,2,222,6,Regular Customers
U1262,484,4,361.69,1,3,3,133,7,High check Customers
U1263,566,4,481.68,1,3,3,133,7,High check Customers
U1264,480,2,139.67000000000002,1,2,2,122,5,Regular Customers
U1265,660,2,177.4,1,2,2,122,5,Regular Customers
U1266,439,2,101.48,2,2,1,221,5,Regular Customers
U1267,467,2,98.5,2,2,1,221,5,Regular Customers
U1268,651,1,21.96,1,1,1,111,3,Regular Customers
U1269,433,4,321.13,2,3,3,233,8,High check Customers
U1270,518,3,198.4,1,2,2,122,5,Regular Customers
U1271,703,1,359.58,1,1,3,113,5,Regular Customers
U1272,449,1,103.31,2,1,1,211,4,Regular Customers
U1273,507,1,103.4,1,1,1,111,3,Regular Customers
U1274,613,2,106.25999999999999,1,2,1,121,4,Regular Customers
U1275,692,2,180.45999999999998,1,2,2,122,5,Regular Customers
U1276,486,4,159.51,1,3,2,132,6,High check Customers
U1277,554,1,120.62,1,1,1,111,3,Regular Customers
U1278,465,2,88.89,2,2,1,221,5,Regular Customers
U1279,476,1,25.04,2,1,1,211,4,Regular Customers
U1280,589,1,48.77,1,1,1,111,3,Regular Customers
U1281,537,4,585.41,1,3,3,133,7,High check Customers
U1282,448,1,83.07,2,1,1,211,4,Regular Customers
U1283,492,2,75.28,1,2,1,121,4,Regular Customers
U1284,546,4,450.54,1,3,3,133,7,High check Customers
U1285,435,4,331.03,2,3,3,233,8,High check Customers
U1286,599,1,85.57,1,1,1,111,3,Regular Customers
U1287,472,3,174.01,2,2,2,222,6,Regular Customers
U1288,649,1,73.76,1,1,1,111,3,Regular Customers
U1289,433,2,179.39,2,2,2,222,6,Regular Customers
U1290,461,1,21.39,2,1,1,211,4,Regular Customers
U1291,437,3,124.97,2,2,1,221,5,Regular Customers
U1292,551,1,73.44,1,1,1,111,3,Regular Customers
U1293,440,4,247.46,2,3,2,232,7,High check Customers
U1294,517,1,96.79,1,1,1,111,3,Regular Customers
U1295,511,2,119.67999999999999,1,2,1,121,4,Regular Customers
U1296,708,1,156.16,1,1,2,112,4,Regular Customers
U1297,487,4,192.82,1,3,2,132,6,High check Customers
U1298,535,3,88.24,1,2,1,121,4,Regular Customers
U1299,507,4,216.26999999999998,1,3,2,132,6,High check Customers
U1300,479,4,286.16,1,3,2,132,6,High check Customers
U1301,510,1,48.27,1,1,1,111,3,Regular Customers
U1302,606,1,106.83,1,1,1,111,3,Regular Customers
U1303,483,3,171.12,1,2,2,122,5,Regular Customers
U1304,460,3,284.48,2,2,2,222,6,Regular Customers
U1305,494,4,260.49,1,3,2,132,6,High check Customers
U1306,505,4,225.96,1,3,2,132,6,High check Customers
U1307,448,4,329.78000000000003,2,3,3,233,8,High check Customers
U1308,577,2,180.45,1,2,2,122,5,Regular Customers
U1309,593,2,597.18,1,2,3,123,6,Regular Customers
U1310,469,3,124.78999999999999,2,2,1,221,5,Regular Customers
U1311,477,4,222.05,1,3,2,132,6,High check Customers
U1312,479,2,122.07,1,2,1,121,4,Regular Customers
U1313,444,3,216.58,2,2,2,222,6,Regular Customers
U1314,646,1,34.19,1,1,1,111,3,Regular Customers
U1315,451,2,169.07999999999998,2,2,2,222,6,Regular Customers
U1316,466,3,221.64999999999998,2,2,2,222,6,Regular Customers
U1317,492,4,349.24,1,3,3,133,7,High check Customers
U1318,428,1,42.9,2,1,1,211,4,Regular Customers
U1319,431,2,151.2,2,2,2,222,6,Regular Customers
U1320,613,2,88.41,1,2,1,121,4,Regular Customers
U1321,445,2,205.63,2,2,2,222,6,Regular Customers
U1322,589,2,103.56,1,2,1,121,4,Regular Customers
U1323,544,2,169.70999999999998,1,2,2,122,5,Regular Customers
U1324,540,4,324.70000000000005,1,3,3,133,7,High check Customers
U1325,480,4,171.93,1,3,2,132,6,High check Customers
U1326,431,2,162.39,2,2,2,222,6,Regular Customers
U1327,504,2,269.18,1,2,2,122,5,Regular Customers
U1328,557,1,94.3,1,1,1,111,3,Regular Customers
U1329,672,1,89.74,1,1,1,111,3,Regular Customers
U1330,620,2,65.53,1,2,1,121,4,Regular Customers
U1331,573,2,128.0,1,2,1,121,4,Regular Customers
U1332,580,2,61.47,1,2,1,121,4,Regular Customers
U1333,432,1,42.81,2,1,1,211,4,Regular Customers
U1334,556,3,160.17000000000002,1,2,2,122,5,Regular Customers
U1335,430,3,252.26999999999998,2,2,2,222,6,Regular Customers
U1336,507,1,51.45,1,1,1,111,3,Regular Customers
U1337,540,4,256.06,1,3,2,132,6,High check Customers
U1338,497,3,227.11,1,2,2,122,5,Regular Customers
U1339,490,1,112.62,1,1,1,111,3,Regular Customers
U1340,533,4,311.97,1,3,3,133,7,High check Customers
U1341,476,4,291.31,2,3,3,233,8,High check Customers
U1342,524,4,193.15,1,3,2,132,6,High check Customers
U1343,458,3,96.65,2,2,1,221,5,Regular Customers
U1344,494,4,374.76,1,3,3,133,7,High check Customers
U1345,459,1,25.9,2,1,1,211,4,Regular Customers
U1346,479,2,111.38,1,2,1,121,4,Regular Customers
U1347,656,3,306.92,1,2,3,123,6,Regular Customers
U1348,633,1,53.55,1,1,1,111,3,Regular Customers
U1349,540,1,63.94,1,1,1,111,3,Regular Customers
U1350,475,3,451.71,2,2,3,223,7,Regular Customers
U1351,430,3,152.10999999999999,2,2,2,222,6,Regular Customers
U1352,439,3,317.67,2,2,3,223,7,Regular Customers
U1353,442,3,184.72,2,2,2,222,6,Regular Customers
U1354,526,2,85.69,1,2,1,121,4,Regular Customers
U1355,478,4,373.94,1,3,3,133,7,High check Customers
U1356,439,1,26.56,2,1,1,211,4,Regular Customers
U1357,532,4,229.22,1,3,2,132,6,High check Customers
U1358,495,2,156.75,1,2,2,122,5,Regular Customers
U1359,518,4,238.12,1,3,2,132,6,High check Customers
U1360,597,4,283.51,1,3,2,132,6,High check Customers
